parcel_id,tax_district,land_use,sale_year,actual,predicted,residual,residual_z
115 01 0 026.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,415262.7554141686,431475.2083487779,-16212.452934609319,-0.21402484093327576
071 15 0 159.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,344572.1791447749,287525.0633541571,57047.11579061783,0.7707521163327947
091 06 0 318.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,389118.40205554874,351272.5830407004,37845.819014848326,0.5126425622713097
053 12 0 142.00,GENERAL SERVICES DISTRICT,VACANT RESIDENTIAL LAND,2013,21000.0,74967.67774194096,-53967.67774194096,-0.7215418254532421
081 12 0 155.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,291090.6944380789,189872.26993951024,101218.42449856867,1.3645160129102685
092 06 0 282.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,40789.12272115502,97301.89462112205,-56512.771899967025,-0.7557537396715344
072 07 0 145.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,108244.07779129494,179946.66042378437,-71702.58263248943,-0.9599397027465516
118 14 0 173.00,URBAN SERVICES DISTRICT,VACANT RESIDENTIAL LAND,2013,450000.0,390946.45444964565,59053.54555035435,0.7977231431644204
148 13 0 079.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,154900.0,172196.51912939284,-17296.519129392836,-0.2285971818213037
115 03 0 088.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,407500.0,335787.6405049178,71712.35949508217,0.9678866930734116
120 09 0 081.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,202375.49113150866,151342.3844636942,51033.106667814456,0.6899100132740406
091 07 0 428.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,402809.73054952564,331531.17416768795,71278.5563818377,0.9620553823334353
150 06 0 056.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,134813.0787037037,138946.4336390477,-4133.3549353439885,-0.0516540055431537
081 03 0 194.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,44281.66818734793,75593.80434550536,-31312.136158157424,-0.41699928317083657
052 06 0 054.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2013,121000.0,152223.21743487348,-31223.217434873484,-0.41580401119089944
142 15 0 109.00,GENERAL SERVICES DISTRICT,ZERO LOT LINE,2013,99000.0,95780.02068539504,3219.9793146049633,0.04719170505043755
051 11 0 099.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2013,229000.0,197297.08894016405,31702.911059835955,0.43006776269267794
060 01 0 058.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,58000.0,126050.05959837673,-68050.05959837673,-0.910841399515084
073 05 0 075.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,153327.78661446224,193350.0189891433,-40022.23237468107,-0.5340829924917895
104 08 0 359.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,306281.5382958232,427696.20176537894,-121414.66346955573,-1.6281843096689121
136 06 0 086.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,191213.29377893143,223862.96257104972,-32649.66879211829,-0.4349787954780457
133 02 0 316.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,98000.0,138412.09889650272,-40412.09889650272,-0.5393236944748906
146 08 0 008.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,207000.0,259126.67821691404,-52126.678216914035,-0.6967945611418157
104 11 0 276.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,491435.2135078918,458519.81735190697,32915.39615598484,0.4463663487271436
082 12 0 249.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,120893.06252294139,160040.69848790616,-39147.63596496478,-0.5223264068855237
096 16 0 017.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,174712.65421425208,160658.4962835809,14054.15793067118,0.1928279630527704
118 09 0 254.00,URBAN SERVICES DISTRICT,ZERO LOT LINE,2013,284900.0,303193.2663426614,-18293.2663426614,-0.2419957549350442
071 16 0 066.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,145593.87851187674,173120.882475497,-27527.003963620256,-0.36611840808178386
119 07 0 088.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,145496.81592620214,144831.99515143337,664.8207747687702,0.012844502412240479
070 09 0 034.02,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,93180.08224760111,141193.395410002,-48013.3131624009,-0.6415014821216393
087 01 0 005.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,268225.33953260735,274984.40661467524,-6759.067082067893,-0.08694961079310547
