parcel_id,sale_date,sale_year,sale_price,land_use,tax_district,sold_as_vacant,price_outlier_flag,sale_price_real
131 03 1C 001.00,2013-01-29,2013,577000.0,RESIDENTIAL CONDO,,N,CLEAN,577000.0
131 03 1D 001.00,2013-01-31,2013,455000.0,RESIDENTIAL CONDO,,N,CLEAN,455000.0
131 04 0 123.00,2013-01-18,2013,266125.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,266125.0
131 05 0A 152.00,2013-01-11,2013,224000.0,RESIDENTIAL CONDO,,N,CLEAN,224000.0
131 06 0 044.00,2013-01-25,2013,846200.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,846200.0
131 08 0M 001.00,2013-01-24,2013,225000.0,VACANT RES LAND,,N,CLEAN,225000.0
131 14 0 097.00,2013-01-24,2013,445000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,445000.0
131 16 0 039.00,2013-01-23,2013,550000.0,SINGLE FAMILY,CITY OF OAK HILL,N,CLEAN,550000.0
132 05 0 102.00,2013-01-17,2013,345000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,345000.0
132 09 0B 205.00,2013-01-07,2013,157000.0,RESIDENTIAL CONDO,,N,CLEAN,157000.0
141 05 0A 231.00,2013-01-16,2013,226745.0,SINGLE FAMILY,,N,CLEAN,226745.0
141 05 0A 316.00,2013-01-03,2013,55900.0,SINGLE FAMILY,,N,CLEAN,55900.0
141 11 0A 060.00,2013-01-18,2013,225000.0,SINGLE FAMILY,,N,CLEAN,225000.0
141 12 0B 039.00,2013-01-11,2013,171900.0,SINGLE FAMILY,,N,CLEAN,171900.0
142 06 0B 292.00,2013-01-22,2013,75000.0,RESIDENTIAL CONDO,,N,CLEAN,75000.0
142 06 0C 064.00,2013-01-18,2013,83500.0,ZERO LOT LINE,,N,CLEAN,83500.0
142 09 0A 032.00,2013-01-11,2013,50000.0,ZERO LOT LINE,,N,CLEAN,50000.0
142 09 0A 038.00,2013-01-28,2013,86900.0,ZERO LOT LINE,,N,CLEAN,86900.0
142 09 0E 147.00,2013-01-16,2013,164500.0,RESIDENTIAL CONDO,,N,CLEAN,164500.0
142 09 0H 065.00,2013-01-02,2013,135000.0,RESIDENTIAL CONDO,,N,CLEAN,135000.0
142 13 0B 123.00,2013-01-24,2013,257000.0,SINGLE FAMILY,,N,CLEAN,257000.0
143 02 0B 010.00,2013-01-07,2013,195000.0,RESIDENTIAL CONDO,,N,CLEAN,195000.0
143 02 0C 025.00,2013-01-18,2013,175000.0,RESIDENTIAL CONDO,,N,CLEAN,175000.0
144 06 0 010.00,2013-01-29,2013,2760000.0,SINGLE FAMILY,CITY OF BELLE MEADE,N,STATISTICAL_OUTLIER,2760000.0
144 06 0 039.00,2013-01-29,2013,2760000.0,VACANT RES LAND,CITY OF BELLE MEADE,N,STATISTICAL_OUTLIER,2760000.0
144 15 0 012.00,2013-01-11,2013,420000.0,VACANT RES LAND,CITY OF FOREST HILLS,N,CLEAN,420000.0
145 09 0 049.00,2013-01-28,2013,505000.0,SINGLE FAMILY,CITY OF FOREST HILLS,N,CLEAN,505000.0
155 03 0C 006.00,2013-01-10,2013,345000.0,SINGLE FAMILY,,N,CLEAN,345000.0
155 08 0C 212.00,2013-01-16,2013,230000.0,SINGLE FAMILY,,N,CLEAN,230000.0
155 08 0E 039.00,2013-01-18,2013,233000.0,SINGLE FAMILY,,N,CLEAN,233000.0
155 10 0A 102.00,2013-01-15,2013,248000.0,SINGLE FAMILY,,N,CLEAN,248000.0
155 15 0A 087.00,2013-01-18,2013,245000.0,SINGLE FAMILY,,N,CLEAN,245000.0
158 03 0 003.00,2013-01-07,2013,1525000.0,SINGLE FAMILY,CITY OF FOREST HILLS,N,STATISTICAL_OUTLIER,1525000.0
158 11 0A 006.00,2013-01-11,2013,2562600.0,SINGLE FAMILY,,N,STATISTICAL_OUTLIER,2562600.0
159 00 0 261.00,2013-01-02,2013,1365000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,STATISTICAL_OUTLIER,1365000.0
159 07 0A 011.00,2013-01-31,2013,1550000.0,SINGLE FAMILY,,N,STATISTICAL_OUTLIER,1550000.0
160 02 0 012.00,2013-01-22,2013,1200000.0,SINGLE FAMILY,CITY OF OAK HILL,N,STATISTICAL_OUTLIER,1200000.0
160 05 0 018.00,2013-01-23,2013,385500.0,SINGLE FAMILY,CITY OF OAK HILL,N,CLEAN,385500.0
081 02 0 085.00,2013-01-28,2013,27000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,27000.0
081 03 0 202.00,2013-01-08,2013,65900.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,65900.0
