parcel_id,property_address,property_city,sale_date,sale_year,sale_price,sale_price_real,land_use,tax_district,sold_as_vacant,price_outlier_flag,latitude,longitude,tract_fips,median_hh_income,total_population,poverty_rate,vacancy_rate,income_quintile
104 14 0 049.00,2922  WESTMORELAND DR,NASHVILLE,2013-01-10,2013,555000.0,555000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.130279008531,-86.815261733269,47037016900,90082.0,4909.0,0.06274190262782645,0.0346378767431399,Q5 (Highest)
105 09 0 141.00,1113  WADE AVE,NASHVILLE,2013-01-15,2013,164000.0,164000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,36.13661925146,-86.786820115367,47037016200,24794.0,3260.0,0.4388557057529079,0.1446229913473424,Q1 (Lowest)
105 09 0 342.00,924  WEDGEWOOD AVE,NASHVILLE,2013-01-18,2013,151000.0,151000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.134855609576,-86.784086679525,47037016200,24794.0,3260.0,0.4388557057529079,0.1446229913473424,Q1 (Lowest)
105 13 0 109.00,1406  ELMWOOD AVE,NASHVILLE,2013-01-23,2013,600000.0,600000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.12666913743,-86.791098922864,47037017000,75536.0,3633.0,0.1445003594536305,0.13854489164086686,Q5 (Highest)
105 13 0 349.00,924  WALDKIRCH AVE,NASHVILLE,2013-01-02,2013,225000.0,225000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.126774742681,-86.785445184966,47037017000,75536.0,3633.0,0.1445003594536305,0.13854489164086686,Q5 (Highest)
105 13 0D 002.00,918 A  WALDKIRCH AVE,NASHVILLE,2013-01-22,2013,519000.0,519000.0,RESIDENTIAL CONDO,,N,CLEAN,36.126732881256,-86.784900986797,47037017000,75536.0,3633.0,0.1445003594536305,0.13854489164086686,Q5 (Highest)
105 13 0D 002.00,918 A  WALDKIRCH AVE,NASHVILLE,2013-01-22,2013,519000.0,519000.0,RESIDENTIAL CONDO,,N,CLEAN,36.126732881256,-86.784900986797,47037017000,75536.0,3633.0,0.1445003594536305,0.13854489164086686,Q5 (Highest)
105 14 0 193.00,807  HILLVIEW HTS,NASHVILLE,2013-01-11,2013,396500.0,396500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.126479303031,-86.779238302656,47037017100,56182.0,2254.0,0.06743566992014197,0.12851985559566786,Q4
116 04 0F 001.00,818  WILSON BLVD,NASHVILLE,2013-01-30,2013,360000.0,360000.0,RESIDENTIAL CONDO,,N,CLEAN,36.120777996822,-86.833764289083,47037018000,87083.0,5050.0,0.06217821782178218,0.0992710864283235,Q5 (Highest)
116 09 0 072.00,5937  LONG MEADOW RD,NASHVILLE,2013-01-30,2013,428000.0,428000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.110393775022,-86.868237322402,47037018203,125000.0,1496.0,0.02072192513368984,0.07325383304940375,Q5 (Highest)
